Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,23.76
1,read,4k,1,8,127.92
2,read,4k,8,1,72.89
3,read,4k,8,8,289.6
4,read,4k,32,1,92.43
5,read,4k,32,8,308.47
6,read,64k,1,1,363.85
7,read,64k,1,8,1747.48
8,read,64k,8,1,1144.7
9,read,64k,8,8,3878.85
10,read,64k,32,1,1221.1
11,read,64k,32,8,3998.18
12,read,1m,1,1,2096.43
13,read,1m,1,8,5499.6
14,read,1m,8,1,5033.96
15,read,1m,8,8,3764
16,read,1m,32,1,3835.36
17,read,1m,32,8,3778.55
18,write,4k,1,1,13.22
19,write,4k,1,8,50.79
20,write,4k,8,1,15.8
21,write,4k,8,8,56.88
22,write,4k,32,1,15.27
23,write,4k,32,8,55.96
24,write,64k,1,1,17.35
25,write,64k,1,8,99.13
26,write,64k,8,1,10.83
27,write,64k,8,8,93.62
28,write,64k,32,1,11.93
29,write,64k,32,8,94.97
30,write,1m,1,1,11.85
31,write,1m,1,8,95.54
32,write,1m,8,1,12.6
33,write,1m,8,8,91.02
34,write,1m,32,1,12.18
35,write,1m,32,8,63.41
