Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,25.72
1,read,4k,1,8,110.9
2,read,4k,8,1,67.48
3,read,4k,8,8,163.89
4,read,4k,32,1,69.87
5,read,4k,32,8,173.02
6,read,64k,1,1,352
7,read,64k,1,8,1388.32
8,read,64k,8,1,971.09
9,read,64k,8,8,3119.25
10,read,64k,32,1,995.46
11,read,64k,32,8,3832.77
12,read,1m,1,1,2022
13,read,1m,1,8,4339.19
14,read,1m,8,1,4223.93
15,read,1m,8,8,6451.82
16,read,1m,32,1,6436.68
17,read,1m,32,8,7791.66
18,write,4k,1,1,24.17
19,write,4k,1,8,51.97
20,write,4k,8,1,63.32
21,write,4k,8,8,62.21
22,write,4k,32,1,72.96
23,write,4k,32,8,65.73
24,write,64k,1,1,120.73
25,write,64k,1,8,711.71
26,write,64k,8,1,119.12
27,write,64k,8,8,782.21
28,write,64k,32,1,119.78
29,write,64k,32,8,440.71
30,write,1m,1,1,118.98
31,write,1m,1,8,176.21
32,write,1m,8,1,12.63
33,write,1m,8,8,40.83
34,write,1m,32,1,12.17
35,write,1m,32,8,44.6
