Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,14.81
1,read,4k,1,8,60.11
2,read,4k,8,1,54.14
3,read,4k,8,8,137.03
4,read,4k,32,1,56.8
5,read,4k,32,8,148.92
6,read,64k,1,1,211.54
7,read,64k,1,8,703.8
8,read,64k,8,1,702.22
9,read,64k,8,8,1236.93
10,read,64k,32,1,786.65
11,read,64k,32,8,1523.64
12,read,1m,1,1,948.83
13,read,1m,1,8,2214.79
14,read,1m,8,1,2124.98
15,read,1m,8,8,2605.79
16,read,1m,32,1,2387.32
17,read,1m,32,8,2568.01
18,write,4k,1,1,8.62
19,write,4k,1,8,36.95
20,write,4k,8,1,49.46
21,write,4k,8,8,67.79
22,write,4k,32,1,62.13
23,write,4k,32,8,72.68
24,write,64k,1,1,97.28
25,write,64k,1,8,456.52
26,write,64k,8,1,84.88
27,write,64k,8,8,525.97
28,write,64k,32,1,54.04
29,write,64k,32,8,52
30,write,1m,1,1,10.59
31,write,1m,1,8,70.93
32,write,1m,8,1,11.17
33,write,1m,8,8,39.6
34,write,1m,32,1,11.18
35,write,1m,32,8,36.04
