Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,24.27
1,read,4k,1,8,132.91
2,read,4k,8,1,92.51
3,read,4k,8,8,289.44
4,read,4k,32,1,68.49
5,read,4k,32,8,348.11
6,read,64k,1,1,355.55
7,read,64k,1,8,1674.7
8,read,64k,8,1,1185.92
9,read,64k,8,8,3656.8
10,read,64k,32,1,1942.07
11,read,64k,32,8,3303.47
12,read,1m,1,1,1980.93
13,read,1m,1,8,4587.69
14,read,1m,8,1,4483.2
15,read,1m,8,8,3760.25
16,read,1m,32,1,3647.73
17,read,1m,32,8,3816.93
18,write,4k,1,1,11.07
19,write,4k,1,8,58
20,write,4k,8,1,13.3
21,write,4k,8,8,61.83
22,write,4k,32,1,14.46
23,write,4k,32,8,59.76
24,write,64k,1,1,14.59
25,write,64k,1,8,94.83
26,write,64k,8,1,10.92
27,write,64k,8,8,101.96
28,write,64k,32,1,11.94
29,write,64k,32,8,78.11
30,write,1m,1,1,12.79
31,write,1m,1,8,95.59
32,write,1m,8,1,11.94
33,write,1m,8,8,87.47
34,write,1m,32,1,11.94
35,write,1m,32,8,96.9
