Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,25.71
1,read,4k,1,8,112.58
2,read,4k,8,1,70.94
3,read,4k,8,8,165.76
4,read,4k,16,1,69.78
5,read,4k,16,8,171.13
6,read,64k,1,1,360.53
7,read,64k,1,8,1381.29
8,read,64k,8,1,978.82
9,read,64k,8,8,3145.64
10,read,64k,16,1,1014.27
11,read,64k,16,8,3350.79
12,read,1m,1,1,2070.07
13,read,1m,1,8,4442.73
14,read,1m,8,1,4832.89
15,read,1m,8,8,6513.22
16,read,1m,16,1,5481.19
17,read,1m,16,8,7411.65
18,write,4k,1,1,27.38
19,write,4k,1,8,55.02
20,write,4k,8,1,63.76
21,write,4k,8,8,59.86
22,write,4k,16,1,66.81
23,write,4k,16,8,60.85
24,write,64k,1,1,122.11
25,write,64k,1,8,541.66
26,write,64k,8,1,119.37
27,write,64k,8,8,547.31
28,write,64k,16,1,11.97
29,write,64k,16,8,100.33
30,write,1m,1,1,11.32
31,write,1m,1,8,48.91
32,write,1m,8,1,11.74
33,write,1m,8,8,33.95
34,write,1m,16,1,13.9
35,write,1m,16,8,36.2
