Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,15.65
1,read,4k,1,8,64.06
2,read,4k,8,1,52.89
3,read,4k,8,8,131.67
4,read,4k,16,1,53.9
5,read,4k,16,8,137.52
6,read,64k,1,1,118.68
7,read,64k,1,8,751.4
8,read,64k,8,1,128.17
9,read,64k,8,8,990.05
10,read,64k,16,1,59.28
11,read,64k,16,8,167.64
12,read,1m,1,1,15.76
13,read,1m,1,8,94.33
14,read,1m,8,1,26.55
15,read,1m,8,8,192.53
16,read,1m,16,1,16.25
17,read,1m,16,8,86.66
18,write,4k,1,1,13.16
19,write,4k,1,8,41.55
20,write,4k,8,1,19.91
21,write,4k,8,8,39.3
22,write,4k,16,1,19.38
23,write,4k,16,8,42.5
24,write,64k,1,1,18.89
25,write,64k,1,8,89.11
26,write,64k,8,1,12.17
27,write,64k,8,8,87.94
28,write,64k,16,1,12.63
29,write,64k,16,8,87.6
30,write,1m,1,1,11.65
31,write,1m,1,8,84.75
32,write,1m,8,1,12.2
33,write,1m,8,8,87.2
34,write,1m,16,1,12.13
35,write,1m,16,8,96.75
