Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,23.09
1,read,4k,1,8,87.43
2,read,4k,8,1,56.03
3,read,4k,8,8,169.89
4,read,4k,32,1,58.31
5,read,4k,32,8,232.36
6,read,64k,1,1,236.99
7,read,64k,1,8,527.07
8,read,64k,8,1,487.31
9,read,64k,8,8,616.59
10,read,64k,32,1,584.36
11,read,64k,32,8,610.49
12,read,1m,1,1,547.36
13,read,1m,1,8,622.06
14,read,1m,8,1,613.23
15,read,1m,8,8,630.51
16,read,1m,32,1,617.47
17,read,1m,32,8,625.39
18,write,4k,1,1,16.71
19,write,4k,1,8,65.3
20,write,4k,8,1,43.63
21,write,4k,8,8,117.16
22,write,4k,32,1,61.11
23,write,4k,32,8,175.81
24,write,64k,1,1,89.67
25,write,64k,1,8,337.27
26,write,64k,8,1,85.1
27,write,64k,8,8,180.26
28,write,64k,32,1,25.04
29,write,64k,32,8,29.17
30,write,1m,1,1,10.94
31,write,1m,1,8,38.4
32,write,1m,8,1,10.68
33,write,1m,8,8,25.91
34,write,1m,32,1,10.95
35,write,1m,32,8,41.18
