Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,19.32
1,read,4k,1,8,78.27
2,read,4k,8,1,49.9
3,read,4k,8,8,180.99
4,read,4k,32,1,52.77
5,read,4k,32,8,237.67
6,read,64k,1,1,206.59
7,read,64k,1,8,502.42
8,read,64k,8,1,453.27
9,read,64k,8,8,576.64
10,read,64k,32,1,557.41
11,read,64k,32,8,585.32
12,read,1m,1,1,517.85
13,read,1m,1,8,598.32
14,read,1m,8,1,582.14
15,read,1m,8,8,591.32
16,read,1m,32,1,583.56
17,read,1m,32,8,592.93
18,write,4k,1,1,14.29
19,write,4k,1,8,59.59
20,write,4k,8,1,43.86
21,write,4k,8,8,119.66
22,write,4k,32,1,56.5
23,write,4k,32,8,165.3
24,write,64k,1,1,89.32
25,write,64k,1,8,301.45
26,write,64k,8,1,85.96
27,write,64k,8,8,149.03
28,write,64k,32,1,45.52
29,write,64k,32,8,34.88
30,write,1m,1,1,9.17
31,write,1m,1,8,50.15
32,write,1m,8,1,10.51
33,write,1m,8,8,35.52
34,write,1m,32,1,10.47
35,write,1m,32,8,31.65
