Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,27.31
1,read,4k,1,8,64.69
2,read,4k,8,1,58.99
3,read,4k,8,8,203.44
4,read,4k,32,1,75.83
5,read,4k,32,8,321.02
6,read,64k,1,1,97.42
7,read,64k,1,8,807.43
8,read,64k,8,1,97.1
9,read,64k,8,8,905.13
10,read,64k,32,1,72.59
11,read,64k,32,8,107.84
12,read,1m,1,1,10.06
13,read,1m,1,8,148.34
14,read,1m,8,1,11.59
15,read,1m,8,8,98.16
16,read,1m,32,1,9.91
17,read,1m,32,8,152.37
18,write,4k,1,1,11.65
19,write,4k,1,8,46.75
20,write,4k,8,1,9.45
21,write,4k,8,8,44.92
22,write,4k,32,1,8.24
23,write,4k,32,8,69.08
24,write,64k,1,1,7.83
25,write,64k,1,8,64.52
26,write,64k,8,1,6.77
27,write,64k,8,8,60.02
28,write,64k,32,1,6.68
29,write,64k,32,8,68.69
30,write,1m,1,1,7.69
31,write,1m,1,8,71.25
32,write,1m,8,1,5.27
33,write,1m,8,8,62.23
34,write,1m,32,1,7.95
35,write,1m,32,8,38.88
