Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,19.89
1,read,4k,1,8,64.45
2,read,4k,8,1,60.9
3,read,4k,8,8,197.62
4,read,4k,32,1,80.54
5,read,4k,32,8,300.18
6,read,64k,1,1,168.96
7,read,64k,1,8,800.23
8,read,64k,8,1,89.07
9,read,64k,8,8,763.01
10,read,64k,32,1,99.87
11,read,64k,32,8,88.84
12,read,1m,1,1,18.38
13,read,1m,1,8,113.17
14,read,1m,8,1,11.85
15,read,1m,8,8,115.7
16,read,1m,32,1,10.19
17,read,1m,32,8,128.09
18,write,4k,1,1,9.09
19,write,4k,1,8,51.64
20,write,4k,8,1,9.89
21,write,4k,8,8,46.5
22,write,4k,32,1,6.89
23,write,4k,32,8,43.05
24,write,64k,1,1,5.23
25,write,64k,1,8,65.27
26,write,64k,8,1,5.71
27,write,64k,8,8,64.25
28,write,64k,32,1,5.13
29,write,64k,32,8,54.24
30,write,1m,1,1,5.58
31,write,1m,1,8,59.7
32,write,1m,8,1,5.15
33,write,1m,8,8,61.18
34,write,1m,32,1,4.82
35,write,1m,32,8,49.23
