Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,20.56
1,read,4k,1,8,81.72
2,read,4k,8,1,54.62
3,read,4k,8,8,184.51
4,read,4k,32,1,57.98
5,read,4k,32,8,229.3
6,read,64k,1,1,224.9
7,read,64k,1,8,501.5
8,read,64k,8,1,465.98
9,read,64k,8,8,599.23
10,read,64k,32,1,566.32
11,read,64k,32,8,592.72
12,read,1m,1,1,530.06
13,read,1m,1,8,604.2
14,read,1m,8,1,593.18
15,read,1m,8,8,610.53
16,read,1m,32,1,605.52
17,read,1m,32,8,607.07
18,write,4k,1,1,16.19
19,write,4k,1,8,62.92
20,write,4k,8,1,51.27
21,write,4k,8,8,137.46
22,write,4k,32,1,62.2
23,write,4k,32,8,179.01
24,write,64k,1,1,90.16
25,write,64k,1,8,281.91
26,write,64k,8,1,86.82
27,write,64k,8,8,148.59
28,write,64k,32,1,26.6
29,write,64k,32,8,29.78
30,write,1m,1,1,10.78
31,write,1m,1,8,50.69
32,write,1m,8,1,10.46
33,write,1m,8,8,29
34,write,1m,32,1,10.8
35,write,1m,32,8,25.18
