Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,22.23
1,read,4k,1,8,88.54
2,read,4k,8,1,55.14
3,read,4k,8,8,182.86
4,read,4k,32,1,56.88
5,read,4k,32,8,242.93
6,read,64k,1,1,253.67
7,read,64k,1,8,531.99
8,read,64k,8,1,494.66
9,read,64k,8,8,641.07
10,read,64k,32,1,595.29
11,read,64k,32,8,623.39
12,read,1m,1,1,557.6
13,read,1m,1,8,632.19
14,read,1m,8,1,626.86
15,read,1m,8,8,629.34
16,read,1m,32,1,623.45
17,read,1m,32,8,628.05
18,write,4k,1,1,16.23
19,write,4k,1,8,65.68
20,write,4k,8,1,53.85
21,write,4k,8,8,130.69
22,write,4k,32,1,62.91
23,write,4k,32,8,182.18
24,write,64k,1,1,95.5
25,write,64k,1,8,342.84
26,write,64k,8,1,89.38
27,write,64k,8,8,215.39
28,write,64k,32,1,12.21
29,write,64k,32,8,27.27
30,write,1m,1,1,11.38
31,write,1m,1,8,57.8
32,write,1m,8,1,11.36
33,write,1m,8,8,30.44
34,write,1m,32,1,11.32
35,write,1m,32,8,33.07
