Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,20.69
1,read,4k,1,8,84.29
2,read,4k,8,1,54.23
3,read,4k,8,8,168.49
4,read,4k,32,1,58.1
5,read,4k,32,8,236.31
6,read,64k,1,1,215.5
7,read,64k,1,8,512.54
8,read,64k,8,1,471.93
9,read,64k,8,8,604.09
10,read,64k,32,1,563.71
11,read,64k,32,8,593.22
12,read,1m,1,1,531.09
13,read,1m,1,8,607.26
14,read,1m,8,1,600.69
15,read,1m,8,8,608.8
16,read,1m,32,1,598.21
17,read,1m,32,8,611.33
18,write,4k,1,1,15.63
19,write,4k,1,8,65.21
20,write,4k,8,1,45.31
21,write,4k,8,8,125.91
22,write,4k,32,1,62.38
23,write,4k,32,8,177.44
24,write,64k,1,1,85.83
25,write,64k,1,8,296.87
26,write,64k,8,1,89.21
27,write,64k,8,8,146.23
28,write,64k,32,1,39.3
29,write,64k,32,8,33.61
30,write,1m,1,1,10.87
31,write,1m,1,8,30.9
32,write,1m,8,1,10.47
33,write,1m,8,8,27.65
34,write,1m,32,1,10.98
35,write,1m,32,8,23.38
