Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,22.65
1,read,4k,1,8,63.64
2,read,4k,8,1,60.66
3,read,4k,8,8,193.09
4,read,4k,32,1,80.65
5,read,4k,32,8,317.47
6,read,64k,1,1,123.15
7,read,64k,1,8,734.38
8,read,64k,8,1,101.86
9,read,64k,8,8,747.21
10,read,64k,32,1,88.71
11,read,64k,32,8,144.78
12,read,1m,1,1,11.29
13,read,1m,1,8,150.51
14,read,1m,8,1,11.6
15,read,1m,8,8,141.23
16,read,1m,32,1,12.71
17,read,1m,32,8,132.12
18,write,4k,1,1,9.64
19,write,4k,1,8,52.44
20,write,4k,8,1,8.73
21,write,4k,8,8,45.97
22,write,4k,32,1,5.21
23,write,4k,32,8,69.55
24,write,64k,1,1,5.19
25,write,64k,1,8,51.53
26,write,64k,8,1,7.52
27,write,64k,8,8,37.92
28,write,64k,32,1,7.57
29,write,64k,32,8,37.75
30,write,1m,1,1,8.91
31,write,1m,1,8,38.61
32,write,1m,8,1,7.17
33,write,1m,8,8,55.34
34,write,1m,32,1,5.49
35,write,1m,32,8,53.86
