Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,22.91
1,read,4k,1,8,84.05
2,read,4k,8,1,54.77
3,read,4k,8,8,173.88
4,read,4k,32,1,58.38
5,read,4k,32,8,226
6,read,64k,1,1,203.2
7,read,64k,1,8,490.18
8,read,64k,8,1,461.46
9,read,64k,8,8,577.66
10,read,64k,32,1,547.43
11,read,64k,32,8,562.01
12,read,1m,1,1,507.67
13,read,1m,1,8,577.32
14,read,1m,8,1,567
15,read,1m,8,8,581.69
16,read,1m,32,1,582.79
17,read,1m,32,8,581.31
18,write,4k,1,1,16.09
19,write,4k,1,8,64.74
20,write,4k,8,1,51.6
21,write,4k,8,8,125.84
22,write,4k,32,1,58.67
23,write,4k,32,8,173.99
24,write,64k,1,1,83.53
25,write,64k,1,8,310.41
26,write,64k,8,1,80.57
27,write,64k,8,8,216.98
28,write,64k,32,1,46.12
29,write,64k,32,8,25.67
30,write,1m,1,1,10.12
31,write,1m,1,8,33.23
32,write,1m,8,1,10.23
33,write,1m,8,8,25.09
34,write,1m,32,1,10.3
35,write,1m,32,8,36.05
