Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,22.99
1,read,4k,1,8,86.41
2,read,4k,8,1,56.24
3,read,4k,8,8,170.75
4,read,4k,32,1,57.37
5,read,4k,32,8,238.36
6,read,64k,1,1,218.11
7,read,64k,1,8,496.65
8,read,64k,8,1,469.58
9,read,64k,8,8,581.17
10,read,64k,32,1,560.96
11,read,64k,32,8,567.32
12,read,1m,1,1,529.02
13,read,1m,1,8,591.22
14,read,1m,8,1,578.04
15,read,1m,8,8,581.84
16,read,1m,32,1,581.39
17,read,1m,32,8,582
18,write,4k,1,1,16.94
19,write,4k,1,8,64.22
20,write,4k,8,1,50.15
21,write,4k,8,8,91.81
22,write,4k,32,1,57.97
23,write,4k,32,8,164.05
24,write,64k,1,1,87.69
25,write,64k,1,8,359.94
26,write,64k,8,1,90.89
27,write,64k,8,8,156.35
28,write,64k,32,1,60.72
29,write,64k,32,8,28.13
30,write,1m,1,1,10.3
31,write,1m,1,8,34.38
32,write,1m,8,1,10.69
33,write,1m,8,8,30.1
34,write,1m,32,1,10.78
35,write,1m,32,8,28.72
