Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,20.92
1,read,4k,1,8,85.14
2,read,4k,8,1,56.1
3,read,4k,8,8,173.59
4,read,4k,32,1,59.17
5,read,4k,32,8,233.42
6,read,64k,1,1,232.46
7,read,64k,1,8,518.08
8,read,64k,8,1,491.23
9,read,64k,8,8,611.75
10,read,64k,32,1,580.97
11,read,64k,32,8,612.15
12,read,1m,1,1,545.56
13,read,1m,1,8,617.52
14,read,1m,8,1,613.14
15,read,1m,8,8,619.49
16,read,1m,32,1,614.56
17,read,1m,32,8,620.65
18,write,4k,1,1,16.4
19,write,4k,1,8,66.09
20,write,4k,8,1,42.69
21,write,4k,8,8,135.22
22,write,4k,32,1,62.23
23,write,4k,32,8,182.58
24,write,64k,1,1,85.42
25,write,64k,1,8,278.86
26,write,64k,8,1,84.65
27,write,64k,8,8,162.22
28,write,64k,32,1,21.33
29,write,64k,32,8,20.81
30,write,1m,1,1,9.99
31,write,1m,1,8,37.97
32,write,1m,8,1,10.89
33,write,1m,8,8,26.15
34,write,1m,32,1,10.49
35,write,1m,32,8,27.7
