Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,23.2
1,read,4k,1,8,79.36
2,read,4k,8,1,50.53
3,read,4k,8,8,172.76
4,read,4k,32,1,53.14
5,read,4k,32,8,226.15
6,read,64k,1,1,202.55
7,read,64k,1,8,521.03
8,read,64k,8,1,473.59
9,read,64k,8,8,599.66
10,read,64k,32,1,559.11
11,read,64k,32,8,592.54
12,read,1m,1,1,528.86
13,read,1m,1,8,590.65
14,read,1m,8,1,589.29
15,read,1m,8,8,589.8
16,read,1m,32,1,600.68
17,read,1m,32,8,606.4
18,write,4k,1,1,15.07
19,write,4k,1,8,60.9
20,write,4k,8,1,47.58
21,write,4k,8,8,119.08
22,write,4k,32,1,56.46
23,write,4k,32,8,177.53
24,write,64k,1,1,79.97
25,write,64k,1,8,237.44
26,write,64k,8,1,84.47
27,write,64k,8,8,152.03
28,write,64k,32,1,55.37
29,write,64k,32,8,29.34
30,write,1m,1,1,10.23
31,write,1m,1,8,41.25
32,write,1m,8,1,10.38
33,write,1m,8,8,26.27
34,write,1m,32,1,10.73
35,write,1m,32,8,32.33
