Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,19.71
1,read,4k,1,8,83.61
2,read,4k,8,1,49.41
3,read,4k,8,8,167.89
4,read,4k,32,1,49.64
5,read,4k,32,8,226.58
6,read,64k,1,1,238.43
7,read,64k,1,8,518.62
8,read,64k,8,1,493.56
9,read,64k,8,8,641.26
10,read,64k,32,1,593.89
11,read,64k,32,8,615.17
12,read,1m,1,1,558.21
13,read,1m,1,8,639.4
14,read,1m,8,1,634.52
15,read,1m,8,8,617.84
16,read,1m,32,1,627.42
17,read,1m,32,8,626.62
18,write,4k,1,1,15.79
19,write,4k,1,8,65.05
20,write,4k,8,1,50.18
21,write,4k,8,8,136.47
22,write,4k,32,1,55.75
23,write,4k,32,8,169.04
24,write,64k,1,1,86.34
25,write,64k,1,8,345.78
26,write,64k,8,1,85.71
27,write,64k,8,8,153.37
28,write,64k,32,1,30.61
29,write,64k,32,8,22.74
30,write,1m,1,1,9.86
31,write,1m,1,8,39.48
32,write,1m,8,1,10.32
33,write,1m,8,8,32.64
34,write,1m,32,1,10.9
35,write,1m,32,8,23.52
