Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,24.13
1,read,4k,1,8,64.8
2,read,4k,8,1,61.79
3,read,4k,8,8,202.63
4,read,4k,32,1,72.95
5,read,4k,32,8,312.04
6,read,64k,1,1,103.1
7,read,64k,1,8,772.15
8,read,64k,8,1,110.13
9,read,64k,8,8,813.07
10,read,64k,32,1,44.17
11,read,64k,32,8,182.07
12,read,1m,1,1,15.67
13,read,1m,1,8,116.04
14,read,1m,8,1,9.87
15,read,1m,8,8,148.87
16,read,1m,32,1,11.7
17,read,1m,32,8,182.64
18,write,4k,1,1,10.05
19,write,4k,1,8,51.52
20,write,4k,8,1,9.72
21,write,4k,8,8,47.92
22,write,4k,32,1,8.71
23,write,4k,32,8,37.27
24,write,64k,1,1,7.7
25,write,64k,1,8,70.1
26,write,64k,8,1,6.02
27,write,64k,8,8,68.6
28,write,64k,32,1,5.29
29,write,64k,32,8,60.98
30,write,1m,1,1,10.2
31,write,1m,1,8,38.77
32,write,1m,8,1,7.08
33,write,1m,8,8,70.94
34,write,1m,32,1,5.21
35,write,1m,32,8,55.81
