Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,20.21
1,read,4k,1,8,85.92
2,read,4k,8,1,54.86
3,read,4k,8,8,175.71
4,read,4k,32,1,58.46
5,read,4k,32,8,226.95
6,read,64k,1,1,232.65
7,read,64k,1,8,520.25
8,read,64k,8,1,474.15
9,read,64k,8,8,606.04
10,read,64k,32,1,582.05
11,read,64k,32,8,600.48
12,read,1m,1,1,542.87
13,read,1m,1,8,611.75
14,read,1m,8,1,611.44
15,read,1m,8,8,616.33
16,read,1m,32,1,610.54
17,read,1m,32,8,617.79
18,write,4k,1,1,15.7
19,write,4k,1,8,63.62
20,write,4k,8,1,43.37
21,write,4k,8,8,110.78
22,write,4k,32,1,63.38
23,write,4k,32,8,163.71
24,write,64k,1,1,89.79
25,write,64k,1,8,249.63
26,write,64k,8,1,89.25
27,write,64k,8,8,143.53
28,write,64k,32,1,40.16
29,write,64k,32,8,21.1
30,write,1m,1,1,10.8
31,write,1m,1,8,34.73
32,write,1m,8,1,10.89
33,write,1m,8,8,31.3
34,write,1m,32,1,10.77
35,write,1m,32,8,25.37
