Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,21.54
1,read,4k,1,8,63.97
2,read,4k,8,1,59.89
3,read,4k,8,8,196.22
4,read,4k,32,1,82.55
5,read,4k,32,8,297.48
6,read,64k,1,1,124.26
7,read,64k,1,8,752.32
8,read,64k,8,1,114.59
9,read,64k,8,8,866.43
10,read,64k,32,1,65.02
11,read,64k,32,8,246.47
12,read,1m,1,1,15.27
13,read,1m,1,8,233.65
14,read,1m,8,1,16.54
15,read,1m,8,8,134.21
16,read,1m,32,1,9.87
17,read,1m,32,8,116.85
18,write,4k,1,1,8.9
19,write,4k,1,8,50.68
20,write,4k,8,1,10.02
21,write,4k,8,8,40.27
22,write,4k,32,1,8.3
23,write,4k,32,8,43.7
24,write,64k,1,1,8.27
25,write,64k,1,8,37.39
26,write,64k,8,1,7.71
27,write,64k,8,8,72.27
28,write,64k,32,1,4.99
29,write,64k,32,8,56.42
30,write,1m,1,1,7.85
31,write,1m,1,8,40.96
32,write,1m,8,1,8.3
33,write,1m,8,8,43.46
34,write,1m,32,1,8.33
35,write,1m,32,8,26.31
