Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,27.86
1,read,4k,1,8,87.71
2,read,4k,8,1,55.33
3,read,4k,8,8,172.55
4,read,4k,32,1,56.64
5,read,4k,32,8,237.63
6,read,64k,1,1,220.83
7,read,64k,1,8,534.57
8,read,64k,8,1,497.02
9,read,64k,8,8,623.46
10,read,64k,32,1,591.79
11,read,64k,32,8,609.5
12,read,1m,1,1,556.96
13,read,1m,1,8,635.05
14,read,1m,8,1,625.89
15,read,1m,8,8,617.94
16,read,1m,32,1,620.95
17,read,1m,32,8,619.25
18,write,4k,1,1,16.56
19,write,4k,1,8,65.58
20,write,4k,8,1,49.52
21,write,4k,8,8,106.67
22,write,4k,32,1,62.13
23,write,4k,32,8,189.09
24,write,64k,1,1,93.5
25,write,64k,1,8,322.97
26,write,64k,8,1,90.57
27,write,64k,8,8,169.01
28,write,64k,32,1,17.2
29,write,64k,32,8,27.23
30,write,1m,1,1,10.82
31,write,1m,1,8,28.67
32,write,1m,8,1,10.58
33,write,1m,8,8,29.51
34,write,1m,32,1,10.82
35,write,1m,32,8,29.77
