Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,21.67
1,read,4k,1,8,81.91
2,read,4k,8,1,54.95
3,read,4k,8,8,180.41
4,read,4k,32,1,58.7
5,read,4k,32,8,228.46
6,read,64k,1,1,219.47
7,read,64k,1,8,494.78
8,read,64k,8,1,460.05
9,read,64k,8,8,578.64
10,read,64k,32,1,547.12
11,read,64k,32,8,587.13
12,read,1m,1,1,524.52
13,read,1m,1,8,593.12
14,read,1m,8,1,582.69
15,read,1m,8,8,589.54
16,read,1m,32,1,590.4
17,read,1m,32,8,596.39
18,write,4k,1,1,15.41
19,write,4k,1,8,62.63
20,write,4k,8,1,40.59
21,write,4k,8,8,117.87
22,write,4k,32,1,62.43
23,write,4k,32,8,179.37
24,write,64k,1,1,93.02
25,write,64k,1,8,325.9
26,write,64k,8,1,94.9
27,write,64k,8,8,183.79
28,write,64k,32,1,10.79
29,write,64k,32,8,26.39
30,write,1m,1,1,10.81
31,write,1m,1,8,30.69
32,write,1m,8,1,10.75
33,write,1m,8,8,38.83
34,write,1m,32,1,11.07
35,write,1m,32,8,34
