Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,25.87
1,read,4k,1,8,88.18
2,read,4k,8,1,56.32
3,read,4k,8,8,176.12
4,read,4k,32,1,57.73
5,read,4k,32,8,234.53
6,read,64k,1,1,229
7,read,64k,1,8,534.87
8,read,64k,8,1,499.58
9,read,64k,8,8,641.17
10,read,64k,32,1,595.51
11,read,64k,32,8,614.08
12,read,1m,1,1,550.87
13,read,1m,1,8,644.83
14,read,1m,8,1,618.82
15,read,1m,8,8,629.11
16,read,1m,32,1,621.94
17,read,1m,32,8,624.29
18,write,4k,1,1,17.16
19,write,4k,1,8,65.4
20,write,4k,8,1,52.15
21,write,4k,8,8,129.77
22,write,4k,32,1,62.66
23,write,4k,32,8,179.88
24,write,64k,1,1,92.76
25,write,64k,1,8,350.04
26,write,64k,8,1,91.89
27,write,64k,8,8,190.42
28,write,64k,32,1,26.64
29,write,64k,32,8,23.72
30,write,1m,1,1,10.46
31,write,1m,1,8,48.32
32,write,1m,8,1,10.78
33,write,1m,8,8,40.64
34,write,1m,32,1,10.76
35,write,1m,32,8,31.05
