Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,22.63
1,read,4k,1,8,86.58
2,read,4k,8,1,55.93
3,read,4k,8,8,176.36
4,read,4k,32,1,57.1
5,read,4k,32,8,227.62
6,read,64k,1,1,228.08
7,read,64k,1,8,538.93
8,read,64k,8,1,491.59
9,read,64k,8,8,624.79
10,read,64k,32,1,596.62
11,read,64k,32,8,621.08
12,read,1m,1,1,552.86
13,read,1m,1,8,629.22
14,read,1m,8,1,621.15
15,read,1m,8,8,632.15
16,read,1m,32,1,623.41
17,read,1m,32,8,629.46
18,write,4k,1,1,16.87
19,write,4k,1,8,68.03
20,write,4k,8,1,45.98
21,write,4k,8,8,142.93
22,write,4k,32,1,61.83
23,write,4k,32,8,189.69
24,write,64k,1,1,87.41
25,write,64k,1,8,334.78
26,write,64k,8,1,84.37
27,write,64k,8,8,155.07
28,write,64k,32,1,21.81
29,write,64k,32,8,22.09
30,write,1m,1,1,10.87
31,write,1m,1,8,39.73
32,write,1m,8,1,10.77
33,write,1m,8,8,28.37
34,write,1m,32,1,9.8
35,write,1m,32,8,34.2
