Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,20.97
1,read,4k,1,8,86.86
2,read,4k,8,1,53.84
3,read,4k,8,8,179.07
4,read,4k,32,1,56.91
5,read,4k,32,8,233.3
6,read,64k,1,1,220.4
7,read,64k,1,8,535.88
8,read,64k,8,1,489.9
9,read,64k,8,8,629.02
10,read,64k,32,1,597.72
11,read,64k,32,8,626.36
12,read,1m,1,1,551.68
13,read,1m,1,8,639.14
14,read,1m,8,1,633.72
15,read,1m,8,8,631.73
16,read,1m,32,1,630.46
17,read,1m,32,8,626.93
18,write,4k,1,1,16.52
19,write,4k,1,8,65.27
20,write,4k,8,1,42.75
21,write,4k,8,8,123.61
22,write,4k,32,1,62.49
23,write,4k,32,8,172.81
24,write,64k,1,1,84.17
25,write,64k,1,8,287.96
26,write,64k,8,1,82.01
27,write,64k,8,8,175.78
28,write,64k,32,1,19.01
29,write,64k,32,8,25.25
30,write,1m,1,1,10.79
31,write,1m,1,8,38.66
32,write,1m,8,1,10.42
33,write,1m,8,8,32.81
34,write,1m,32,1,10.59
35,write,1m,32,8,21.32
