Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,19.66
1,read,4k,1,8,73.15
2,read,4k,8,1,53.2
3,read,4k,8,8,162.39
4,read,4k,32,1,63.15
5,read,4k,32,8,221.55
6,read,64k,1,1,171.86
7,read,64k,1,8,438.07
8,read,64k,8,1,389.38
9,read,64k,8,8,474.04
10,read,64k,32,1,425.76
11,read,64k,32,8,463.79
12,read,1m,1,1,439.35
13,read,1m,1,8,492.6
14,read,1m,8,1,484.73
15,read,1m,8,8,497.64
16,read,1m,32,1,496.38
17,read,1m,32,8,495.43
18,write,4k,1,1,12.68
19,write,4k,1,8,61.9
20,write,4k,8,1,40.24
21,write,4k,8,8,115.63
22,write,4k,32,1,62.12
23,write,4k,32,8,126.6
24,write,64k,1,1,86.26
25,write,64k,1,8,278.88
26,write,64k,8,1,81.75
27,write,64k,8,8,141.07
28,write,64k,32,1,55.92
29,write,64k,32,8,16.36
30,write,1m,1,1,10.71
31,write,1m,1,8,43.4
32,write,1m,8,1,10.97
33,write,1m,8,8,35.52
34,write,1m,32,1,10.91
35,write,1m,32,8,26.1
