Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,21.77
1,read,4k,1,8,85.32
2,read,4k,8,1,55.11
3,read,4k,8,8,176.67
4,read,4k,32,1,57.68
5,read,4k,32,8,236.56
6,read,64k,1,1,229.34
7,read,64k,1,8,519.2
8,read,64k,8,1,484.99
9,read,64k,8,8,608.78
10,read,64k,32,1,582.24
11,read,64k,32,8,612.31
12,read,1m,1,1,539.12
13,read,1m,1,8,626.86
14,read,1m,8,1,609.68
15,read,1m,8,8,623.29
16,read,1m,32,1,614.64
17,read,1m,32,8,622.37
18,write,4k,1,1,16.21
19,write,4k,1,8,66.17
20,write,4k,8,1,43.46
21,write,4k,8,8,114.57
22,write,4k,32,1,62.68
23,write,4k,32,8,178.98
24,write,64k,1,1,89.3
25,write,64k,1,8,204.28
26,write,64k,8,1,86.33
27,write,64k,8,8,164.65
28,write,64k,32,1,21.95
29,write,64k,32,8,20.49
30,write,1m,1,1,10.98
31,write,1m,1,8,26.45
32,write,1m,8,1,10.95
33,write,1m,8,8,30.88
34,write,1m,32,1,10.73
35,write,1m,32,8,28.77
