Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,21.82
1,read,4k,1,8,84.16
2,read,4k,8,1,53.27
3,read,4k,8,8,178.71
4,read,4k,32,1,56.32
5,read,4k,32,8,227.16
6,read,64k,1,1,219.81
7,read,64k,1,8,516.18
8,read,64k,8,1,471.66
9,read,64k,8,8,597.54
10,read,64k,32,1,579.95
11,read,64k,32,8,585.94
12,read,1m,1,1,533.69
13,read,1m,1,8,602.66
14,read,1m,8,1,592.1
15,read,1m,8,8,603.62
16,read,1m,32,1,595.1
17,read,1m,32,8,605.29
18,write,4k,1,1,16.52
19,write,4k,1,8,63.29
20,write,4k,8,1,49.29
21,write,4k,8,8,132.28
22,write,4k,32,1,61.02
23,write,4k,32,8,182.33
24,write,64k,1,1,83.4
25,write,64k,1,8,303.91
26,write,64k,8,1,80.44
27,write,64k,8,8,160.08
28,write,64k,32,1,50.61
29,write,64k,32,8,35.53
30,write,1m,1,1,10.16
31,write,1m,1,8,37.49
32,write,1m,8,1,10.82
33,write,1m,8,8,33.8
34,write,1m,32,1,10.47
35,write,1m,32,8,26.76
