Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,16.1
1,read,4k,1,8,62.27
2,read,4k,8,1,53.93
3,read,4k,8,8,136.22
4,read,4k,16,1,52.96
5,read,4k,16,8,145.38
6,read,64k,1,1,226.61
7,read,64k,1,8,715.28
8,read,64k,8,1,642.91
9,read,64k,8,8,1324.97
10,read,64k,16,1,735.66
11,read,64k,16,8,1480.55
12,read,1m,1,1,1475.17
13,read,1m,1,8,2778.91
14,read,1m,8,1,2878.42
15,read,1m,8,8,2850.02
16,read,1m,16,1,2945.99
17,read,1m,16,8,2860.68
18,write,4k,1,1,14.8
19,write,4k,1,8,42.79
20,write,4k,8,1,49.19
21,write,4k,8,8,68.14
22,write,4k,16,1,53.24
23,write,4k,16,8,70.12
24,write,64k,1,1,88.64
25,write,64k,1,8,504.88
26,write,64k,8,1,82.15
27,write,64k,8,8,533.16
28,write,64k,16,1,45.25
29,write,64k,16,8,55.52
30,write,1m,1,1,10.54
31,write,1m,1,8,84.22
32,write,1m,8,1,10.74
33,write,1m,8,8,52.36
34,write,1m,16,1,11.37
35,write,1m,16,8,29.98
