Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,18.94
1,read,4k,1,8,79.76
2,read,4k,8,1,51.21
3,read,4k,8,8,166.13
4,read,4k,32,1,53.04
5,read,4k,32,8,216.87
6,read,64k,1,1,205.95
7,read,64k,1,8,515.96
8,read,64k,8,1,465.76
9,read,64k,8,8,579.67
10,read,64k,32,1,559.71
11,read,64k,32,8,586.31
12,read,1m,1,1,523.16
13,read,1m,1,8,597.33
14,read,1m,8,1,595.4
15,read,1m,8,8,603.52
16,read,1m,32,1,587.99
17,read,1m,32,8,587.61
18,write,4k,1,1,14.65
19,write,4k,1,8,61.6
20,write,4k,8,1,48.43
21,write,4k,8,8,137.78
22,write,4k,32,1,55.37
23,write,4k,32,8,165.58
24,write,64k,1,1,84.17
25,write,64k,1,8,143.55
26,write,64k,8,1,81.75
27,write,64k,8,8,156.93
28,write,64k,32,1,27.72
29,write,64k,32,8,32.11
30,write,1m,1,1,10.73
31,write,1m,1,8,40.16
32,write,1m,8,1,10.55
33,write,1m,8,8,23.84
34,write,1m,32,1,10.13
35,write,1m,32,8,33.67
